Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-12-14,254.951,286.703,229.454,284.872,5576352.793988
2020-12-15,292.276,304.787,282.853,288.623,2760403.8883294
2020-12-16,287.95,292.474,279.002,288.623,1164562.139493
2020-12-17,293.434,301.995,293.434,297.472,1115707.4183686
2020-12-18,250.14,262.265,233.304,261.107,5652207.1339256
2020-12-21,250.14,255.238,238.599,246.29,2818001.8627545
2020-12-22,252.644,265.442,252.06,257.544,1553379.2814252
2020-12-23,264.571,265.145,242.44,258.801,1505808.6687992
2020-12-28,254.951,263.611,247.349,263.611,1073192.4146537
2020-12-29,268.897,274.38,263.997,269.867,717594.38163395
2020-12-30,269.867,269.867,260.147,264.284,675762.34986633
2021-01-04,266.016,268.422,257.93,265.917,721981.16298729
2021-01-05,265.145,265.145,253.604,255.624,942905.41258499
2021-01-07,256.871,256.97,238.599,238.599,1583369.4282913
2021-01-08,240.707,243.796,225.316,230.8,1581254.84207
2021-01-11,230.899,247.25,230.899,236.669,827315.44145752
2021-01-12,236.669,243.311,233.789,239.074,682216.23270491
2021-01-13,239.074,243.885,237.728,240.42,680636.1023418
2021-01-14,243.796,266.591,241.767,254.951,1335802.200557
2021-01-15,254.951,257.069,241.578,246.488,790594.58584525
2021-01-18,247.25,248.408,239.846,243.885,499161.56520467
2021-01-19,245.617,247.25,233.591,238.787,782100.87998677
2021-01-20,237.629,246.003,229.939,243.113,770772.23435919
2021-01-21,245.33,250.625,242.063,243.598,937027.40845931
2021-01-22,242.44,247.25,240.42,240.618,540418.72857292
2021-01-25,242.44,266.115,240.806,265.244,1670450.3721897
2021-01-26,262.74,288.623,262.74,288.623,2785460.6742216
2021-01-27,296.324,331.917,296.324,303.826,6100655.0011081
2021-01-28,299.402,362.224,287.762,351.158,7127834.7066013
2021-01-29,340.577,344.428,286.406,293.622,3063338.3182114
2021-02-01,293.919,304.015,280.25,294.206,1048414.4752962
2021-02-02,293.919,294.305,271.688,272.559,1433555.0862876
2021-02-03,273.232,284.387,272.658,277.082,717235.7203303
2021-02-04,277.171,287.465,277.171,279.963,419236.67204915
2021-02-05,282.081,286.604,277.27,282.279,451486.89028497
2021-02-08,285.733,286.505,275.439,275.439,503712.0173501
2021-02-09,276.112,277.27,258.227,259.761,1170184.5342952
2021-02-10,258.702,265.056,254.376,259.276,681076.59904149
2021-02-11,258.316,261.107,257.841,260.246,364673.67947236
2021-02-12,258.9,259.474,250.427,253.03,381424.67782297
2021-02-15,250.14,260.335,248.507,259.761,281602.66998006
2021-02-16,260.721,262.839,256.584,259.86,339614.87295305
2021-02-17,261.78,262.166,257.93,261.008,305851.20504719
2021-02-18,261.008,272.747,258.989,264.571,518614.14193825
2021-02-19,264.571,268.323,254.664,255.337,446044.33129132
2021-02-22,256.297,258.029,248.22,248.309,485782.99342187
2021-02-23,249.18,251.199,240.618,247.923,578110.49548886
2021-02-24,248.408,252.357,246.29,248.408,354500.83252469
2021-02-25,245.33,246.29,239.658,242.063,797917.33832084
2021-02-26,240.133,240.42,225.316,227.632,1536548.4683056
2021-03-01,228.394,231.859,216.656,231.186,1132029.0334684
2021-03-02,231.77,236.58,227.048,232.146,700713.05283778
